HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP43387,,4652.0,111.0,93.0,2.469,0.133,0.095,0.022,0.12,0.18,EPIC
HIP43448,,4851.0,96.0,96.0,2.708,0.15,0.3,-0.067,0.15,0.3,EPIC
HIP43454,75528.0,5936.0,229.0,229.0,4.317,0.14,0.252,-0.068,0.15,0.24,EPIC
HIP43463,75558.0,4811.0,96.0,96.0,2.664,0.13,0.234,-0.024,0.15,0.24,EPIC
HIP43502,,4929.0,59.0,79.0,2.779,0.15,0.35,-0.11,0.1,0.3,EPIC
HIP43538,,,,,,,,,,,EPIC
HIP43540,75699.0,,,,,,,,,,EPIC
HIP43547,,4790.0,47.0,67.0,2.805,0.324,0.18,0.148,0.08,0.08,EPIC
HIP43569,75784.0,4905.0,78.0,58.0,3.433,0.144,0.144,0.009,0.06,0.22,EPIC
HIP43613,75842.0,4741.0,75.0,75.0,2.679,0.126,0.147,0.118,0.08,0.12,EPIC
HIP43614,,4345.0,70.0,70.0,1.81,0.315,0.567,-0.315,0.25,0.6,EPIC
HIP43682,75961.0,4761.0,97.0,97.0,2.548,0.3,0.18,-0.14,0.2,0.28,EPIC
HIP43683,75974.0,5334.0,106.0,64.0,2.471,0.67,0.05,-1.004,0.99,0.15,EPIC
HIP43915,76445.0,4978.0,119.0,119.0,3.377,0.174,0.174,-0.228,0.25,0.25,EPIC
HIP43950,76475.0,4978.0,60.0,101.0,2.512,0.391,0.138,-0.534,0.36,0.3,EPIC
HIP43957,76508.0,,,,,,,,,,EPIC
HIP44000,76573.0,4851.0,97.0,97.0,2.622,0.17,0.238,-0.067,0.15,0.36,EPIC
HIP44102,76831.0,,,,,,,,,,EPIC
HIP44125,,,,,,,,,,,EPIC
HIP44141,76867.0,,,,,,,,,,EPIC
HIP44408,77377.0,,,,,,,,,,EPIC
HIP44489,77571.0,4848.0,96.0,96.0,2.697,0.175,0.28,-0.091,0.15,0.36,EPIC
HIP44501,,4582.0,72.0,72.0,2.472,0.245,0.175,0.002,0.15,0.24,EPIC
HIP44529,77661.0,6104.0,179.0,179.0,3.886,0.144,0.12,-0.024,0.15,0.18,EPIC
HIP44581,77776.0,4817.0,144.0,115.0,2.654,0.1,0.24,-0.024,0.15,0.21,EPIC
HIP44749,78142.0,,,,,,,,,,EPIC
HIP44792,78236.0,,,,,,,,,,EPIC
HIP44843,78376.0,4935.0,100.0,80.0,3.291,0.168,0.168,-0.226,0.25,0.3,EPIC
HIP44862,78420.0,4755.0,95.0,76.0,2.693,0.245,0.294,-0.14,0.16,0.2,EPIC
HIP44870,78419.0,4852.0,144.0,115.0,2.656,0.13,0.208,-0.041,0.15,0.21,EPIC
HIP45033,78715.0,4990.0,79.0,59.0,2.944,0.426,0.355,-0.711,0.35,0.25,EPIC
HIP45327,79374.0,6345.0,188.0,188.0,3.787,0.07,0.112,0.008,0.1,0.1,EPIC
HIP45777,80410.0,,,,,,,,,,EPIC
